fund_house,scheme_type,scheme_category,scheme_code,scheme_name,cag,risk
UTI Mutual Fund,Open Ended Schemes,Debt Scheme - Short Duration Fund,106384,UTI - Short Term Income Fund - Discontinued Regular Option -Growth Sub Option,28.992650000000005,6.543614879318183
UTI Mutual Fund,Open Ended Schemes,Debt Scheme - Short Duration Fund,106624,UTI - Short Term Income Fund - Regular Plan - Growth Option,20.090838636363635,3.5606907010072315
HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Dynamic Bond,106736,HSBC Flexi Debt Fund-Reg.Growth,22.019047727272724,5.541659882040288
HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Dynamic Bond,106737,HSBC Flexi Debt Fund-Growth,22.704679545454546,6.356154451172518
HDFC Mutual Fund,Open Ended Schemes,Debt Scheme - Floater Fund,106841,HDFC Floating Rate Debt Fund - Wholesale Growth Option,29.577502272727273,14.074148438403926
Franklin Templeton Mutual Fund,Open Ended Schemes,Debt Scheme - Ultra Short Duration Fund,107247,Franklin India Ultra Short Bond Fund - Retail - Growth,22.309913636363635,8.13782017981405
Franklin Templeton Mutual Fund,Open Ended Schemes,Debt Scheme - Ultra Short Duration Fund,107248,Franklin India Ultra Short Bond Fund - Institutional - Growth,22.764275,8.907797080056817
Franklin Templeton Mutual Fund,Open Ended Schemes,Debt Scheme - Ultra Short Duration Fund,107249,Franklin India Ultra Short Bond Fund - Super Institutional - Growth,23.39448181818182,10.06561791376033
Principal Mutual Fund,Open Ended Schemes,Debt Scheme - Ultra Short Duration Fund,107328,Principal Ultra Short Term Fund-Growth Option,1874.4015977272727,28391.055973464318
Invesco Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,107477,Invesco India Gilt Fund - Growth,1800.621052272727,52426.31491560068
Mirae Asset Mutual Fund,Open Ended Schemes,Debt Scheme - Low Duration Fund,107705,Mirae Asset Savings Fund-Regular Savings Plan- Growth,1469.422159090909,23085.124608286056
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,108273,Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth,217.09776590909095,881.631929488156
Kotak Mahindra Mutual Fund,Open Ended Schemes,Debt Scheme - Dynamic Bond,108511,Kotak Dynamic Bond Fund Regular Plan Growth,21.941420454545458,10.334438453899798
IDFC Mutual Fund,Open Ended Schemes,Debt Scheme - Low Duration Fund,108632,IDFC Low Duration Fund -Regular Plan- Growth,24.07821818181818,9.139335356033058
